Time,Replica1,Replica2,Replica3
25200.0,2.44842,2.49835,2.43759
25300.0,2.45207,2.50271,2.43802
25400.0,2.44182,2.49669,2.43644
25500.0,2.44466,2.49628,2.44062
25600.0,2.44211,2.48832,2.43403
25700.0,2.44289,2.49682,2.45471
25800.0,2.44333,2.50877,2.43764
25900.0,2.4472,2.48922,2.44731
26000.0,2.43215,2.47863,2.4462
26100.0,2.43352,2.50635,2.45567
26200.0,2.44396,2.49163,2.4476
26300.0,2.43227,2.49018,2.4484
26400.0,2.43903,2.50166,2.45393
26500.0,2.43072,2.50048,2.4496
26600.0,2.45452,2.51069,2.4592
26700.0,2.45435,2.50255,2.45112
26800.0,2.43513,2.48155,2.45124
26900.0,2.44879,2.48403,2.43147
27000.0,2.44605,2.48631,2.44663
27100.0,2.44709,2.48729,2.44466
27200.0,2.45788,2.46789,2.45305
27300.0,2.44779,2.48965,2.44149
27400.0,2.43901,2.50717,2.44141
27500.0,2.45496,2.48798,2.44154
27600.0,2.45703,2.47346,2.43343
27700.0,2.44432,2.49838,2.44555
27800.0,2.44759,2.46971,2.44012
27900.0,2.43143,2.47693,2.4474
28000.0,2.43755,2.47226,2.44341
28100.0,2.43005,2.48203,2.44159
28200.0,2.44496,2.4756,2.44173
28300.0,2.44015,2.48959,2.45025
28400.0,2.44101,2.48593,2.43263
28500.0,2.42453,2.48042,2.45057
28600.0,2.43724,2.48115,2.45419
28700.0,2.42585,2.49293,2.45625
28800.0,2.43611,2.47477,2.45473
28900.0,2.42136,2.47657,2.44927
29000.0,2.43991,2.47639,2.44409
29100.0,2.43682,2.4819,2.44385
29200.0,2.44519,2.46855,2.45516
29300.0,2.43713,2.48276,2.44135
29400.0,2.43582,2.48416,2.46506
29500.0,2.43307,2.49141,2.46054
29600.0,2.43193,2.48256,2.45754
29700.0,2.42437,2.4707,2.44665
29800.0,2.42274,2.47093,2.45193
29900.0,2.43566,2.4619,2.43999
30000.0,2.44283,2.47303,2.44914
30100.0,2.44073,2.477,2.43652
30200.0,2.43827,2.47819,2.42978
30300.0,2.45206,2.4653,2.437
30400.0,2.45579,2.47889,2.43452
30500.0,2.45054,2.47075,2.43462
30600.0,2.4448,2.49167,2.42885
30700.0,2.44142,2.48261,2.44919
30800.0,2.43326,2.46538,2.42732
30900.0,2.43228,2.48851,2.43739
31000.0,2.43722,2.48293,2.43743
31100.0,2.42941,2.48143,2.43739
31200.0,2.43287,2.47923,2.44041
31300.0,2.4375,2.48001,2.42561
31400.0,2.43876,2.48884,2.43131
31500.0,2.43484,2.47985,2.43639
31600.0,2.43372,2.47609,2.43596
31700.0,2.42928,2.485,2.44456
31800.0,2.43765,2.48058,2.44625
31900.0,2.4259,2.48638,2.45283
32000.0,2.43629,2.48744,2.44564
32100.0,2.42641,2.4771,2.45075
32200.0,2.43743,2.46794,2.45704
32300.0,2.43853,2.48672,2.43819
32400.0,2.42419,2.48299,2.41959
32500.0,2.4504,2.49064,2.42928
32600.0,2.44934,2.49934,2.42483
32700.0,2.43786,2.49872,2.4207
32800.0,2.43835,2.48241,2.44405
32900.0,2.43526,2.49701,2.44291
33000.0,2.44537,2.50047,2.44254
33100.0,2.44577,2.50766,2.4412
33200.0,2.43623,2.48152,2.44925
33300.0,2.44353,2.49247,2.45901
33400.0,2.43317,2.48362,2.44796
33500.0,2.43784,2.49478,2.4457
33600.0,2.43416,2.47897,2.44839
33700.0,2.4434,2.49213,2.44822
33800.0,2.44738,2.47851,2.44563
33900.0,2.44148,2.47682,2.44337
34000.0,2.43639,2.495,2.44332
34100.0,2.44904,2.48393,2.42817
34200.0,2.4516,2.48592,2.43465
34300.0,2.44882,2.47354,2.44357
34400.0,2.43858,2.45716,2.44081
34500.0,2.45071,2.46437,2.46229
34600.0,2.43438,2.47967,2.45367
34700.0,2.43192,2.48495,2.45675
34800.0,2.44505,2.48207,2.42986
34900.0,2.44287,2.49345,2.43558
35000.0,2.42363,2.4643,2.42988
