     Time     Replica1     Replica2     Replica3
32000      481.070      335.387      325.715
32100      449.270      362.143      354.474
32200      503.215      325.610      435.441
32300      466.358      338.911      444.603
32400      469.063      363.187      379.561
32500      462.418      350.546      378.954
32600      476.074      380.724      412.979
32700      522.655      396.090      370.506
32800      482.219      371.832      380.816
32900      512.081      324.791      437.574
33000      525.421      357.284      449.507
33100      494.277      396.165      402.463
33200      548.766      353.545      433.954
33300      554.140      350.103      423.676
33400      541.256      295.557      444.598
33500      474.335      323.366      416.945
33600      471.228      363.458      459.802
33700      506.401      326.404      421.955
33800      498.549      392.493      438.657
33900      500.926      336.276      438.499
34000      515.949      362.844      472.353
34100      518.134      351.380      518.552
34200      543.842      344.691      504.622
34300      507.048      351.648      495.201
34400      539.640      366.695      469.556
34500      514.412      329.167      470.350
34600      478.097      372.868      410.097
34700      474.373      357.955      446.630
34800      545.007      340.720      412.654
34900      578.055      309.170      416.859
35000      535.921      341.623      405.942
35100      517.786      292.359      364.551
35200      504.930      308.957      431.190
35300      527.153      328.288      389.821
35400      540.092      314.466      389.850
35500      559.424      301.082      466.565
35600      491.962      303.691      435.105
35700      517.767      284.871      439.081
35800      523.231      315.939      379.242
35900      539.782      311.128      399.020
36000      501.822      326.177      367.027
36100      487.881      306.219      363.378
36200      482.330      318.752      414.053
36300      498.141      309.610      394.381
36400      449.995      312.512      408.647
36500      492.434      375.828      395.684
36600      516.039      368.109      386.671
36700      480.539      289.789      373.721
36800      492.274      305.031      447.976
36900      527.353      300.016      398.671
37000      479.868      358.971      320.277
37100      495.101      320.693      431.987
37200      518.085      344.635      392.370
37300      557.943      323.295      421.042
37400      533.252      339.420      423.998
37500      493.286      322.546      438.845
37600      476.765      317.821      475.937
37700      513.043      301.529      453.607
37800      471.101      307.254      451.429
37900      543.734      307.634      455.205
38000      468.772      313.074      451.890
38100      443.851      327.269      429.917
38200      398.776      306.995      424.743
38300      466.791      275.075      443.885
38400      493.118      288.053      396.030
38500      448.089      324.699      400.251
38600      451.327      332.557      453.272
38700      509.710      293.612      430.449
38800      478.325      308.867      418.761
38900      479.509      310.102      381.131
39000      464.019      271.508      403.789
39100      508.501      268.478      478.336
39200      484.373      253.273      449.839
39300      500.436      241.734      393.995
39400      490.869      312.848      411.298
39500      426.550      264.663      443.128
39600      438.590      300.612      477.615
39700      457.174      257.539      451.195
39800      440.152      283.736      366.383
39900      466.041      270.440      401.356
40000      474.403      241.347      394.412
40100      402.120      276.167      429.342
40200      494.841      229.509      392.269
40300      510.319      304.166      442.253
40400      506.588      237.729      468.127
